0	90629	90
1	68761	137
2	70247	211
3	63567	255
4	58274	292
5	55568	335
6	52665	371
7	51352	414
8	49186	446
9	47508	479
10	46159	513
11	44984	546
12	44125	581
13	43389	616
14	42621	649
15	41999	682
16	41361	715
17	40803	747
18	40298	780
19	39844	813
20	39398	845
21	38962	876
22	38865	914
23	38833	954
24	38588	989
25	38398	1025
26	38501	1068
27	38518	1109
28	38102	1137
29	37947	1173
30	38295	1225
31	38388	1269
32	38274	1306
33	38559	1357
34	38337	1390
35	38141	1424
36	37948	1458
37	38458	1519
38	38367	1557
39	38468	1602
40	38812	1659
41	38950	1707
42	38957	1750
43	38797	1785
44	38593	1818
45	38652	1863
46	38475	1897
47	38277	1929
48	38092	1962
49	37946	1997
50	38018	2043
51	37862	2076
52	37756	2113
53	37658	2149
54	37522	2183
55	37375	2217
56	37230	2250
57	37076	2282
58	36949	2316
59	37198	2374
60	37142	2412
61	37018	2446
62	36895	2480
63	36751	2512
64	36612	2545
65	36492	2578
66	36403	2614
67	36269	2646
68	36184	2681
69	36078	2715
70	35972	2749
71	35859	2782
72	35851	2823
73	35787	2859
74	35673	2892
75	35558	2924
76	35441	2956
77	35328	2988
78	35230	3021
79	35178	3058
80	35115	3095
81	35069	3132
82	35020	3169
83	35091	3218
84	35033	3254
85	34947	3288
86	34921	3327
87	34962	3373
88	34981	3417
89	34925	3454
90	34853	3489
91	34802	3526
92	34804	3568
93	34758	3606
94	34703	3642
95	34648	3679
96	34571	3713
97	34532	3751
98	34507	3791
99	34611	3845
100	34529	3879
101	34446	3912
102	34378	3947
103	34400	3992
104	34323	4026
105	34261	4062
106	34181	4095
107	34104	4129
108	34022	4162
109	33942	4195
110	33862	4228
111	33803	4263
112	33735	4297
113	33684	4334
114	33577	4363
115	33519	4398
116	33409	4426
117	33343	4460
118	33278	4495
119	33225	4530
120	33170	4566
121	33147	4605
122	33146	4648
123	33094	4684
124	33022	4717
125	32950	4750
126	32882	4783
127	32764	4809
128	32703	4843
129	32632	4876
130	32567	4909
131	32507	4943
132	32444	4977
133	32389	5011
134	32324	5044
135	32264	5078
136	32203	5112
137	32140	5145
138	32084	5179
139	32044	5216
140	31981	5249
141	31914	5281
142	31854	5315
143	31824	5353
144	31757	5385
145	31706	5420
146	31660	5456
147	31605	5490
148	31552	5524
149	31494	5557
150	31455	5594
151	31364	5621
152	31301	5654
153	31251	5688
154	31197	5722
155	31137	5755
156	31088	5789
157	31084	5833
158	31080	5876
159	31029	5910
160	30971	5943
161	30911	5975
162	30863	6010
163	30806	6043
164	30747	6075
165	30696	6109
166	30638	6142
167	30585	6175
168	30528	6208
169	30474	6241
170	30415	6273
171	30358	6306
172	30309	6340
173	30253	6373
174	30206	6407
175	30165	6443
176	30115	6476
177	30070	6511
178	30027	6546
179	29981	6581
180	29931	6614
181	29898	6652
182	29843	6684
183	29788	6717
184	29739	6750
185	29689	6784
186	29633	6816
187	29595	6852
188	29538	6883
189	29489	6917
190	29441	6951
191	29389	6983
192	29335	7015
193	29288	7049
194	29246	7084
195	29193	7116
196	29141	7149
197	29094	7182
198	29043	7215
199	28993	7248
200	28943	7281
201	28906	7317
202	28876	7354
203	28840	7391
204	28792	7424
205	28747	7458
206	28702	7492
207	28657	7526
208	28615	7560
209	28568	7594
210	28527	7629
211	28481	7662
212	28436	7696
213	28391	7730
214	28347	7763
